pasut,bulan,target
0.70,1,0
0.60,1,0
0.60,1,0
0.80,1,0
0.90,1,0
0.90,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.20,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.20,1,0
1.30,1,0
1.30,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
0.00,1,0
1.40,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.10,1,0
1.00,1,0
1.20,1,0
1.10,1,0
1.30,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.70,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.40,1,0
1.30,1,0
1.10,1,0
1.30,1,0
1.30,1,0
1.40,1,0
1.60,1,0
1.60,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.60,1,0
1.90,1,0
1.90,1,0
1.90,1,0
1.80,1,0
1.70,1,0
1.70,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.40,1,0
1.40,1,0
1.50,1,0
1.50,1,0
1.80,1,0
1.80,1,0
1.80,1,0
1.80,1,0
1.80,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.50,1,0
1.30,1,0
1.40,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.20,1,0
1.20,1,0
1.40,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.40,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.20,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.70,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.00,1,0
1.30,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.20,1,0
1.20,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.10,1,0
1.10,1,0
1.30,1,0
1.50,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.70,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.50,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.70,1,0
1.70,1,0
1.80,1,0
1.80,1,0
1.70,1,0
1.60,1,0
1.60,1,0
1.60,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.00,1,0
1.20,1,0
1.20,1,0
1.30,1,0
1.40,1,0
1.40,1,0
1.50,1,0
1.60,1,0
1.60,1,0
1.40,1,0
1.40,1,0
1.10,1,0
0.90,1,0
0.90,1,0
1.00,1,0
1.00,1,0
0.80,1,0
0.80,1,0
0.70,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.90,1,0
0.90,1,0
1.20,1,0
1.00,1,0
0.80,1,0
0.70,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.70,1,0
0.60,1,0
0.60,1,0
0.70,1,0
0.60,1,0
0.60,1,0
0.80,1,0
1.00,1,0
1.20,1,0
1.60,1,0
1.60,1,0
1.50,1,0
1.50,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.40,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.40,1,0
1.20,1,0
1.20,1,0
1.30,1,0
1.30,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.00,1,0
0.90,1,0
0.80,1,0
0.60,1,0
0.60,1,0
0.50,1,0
0.40,1,0
0.40,1,0
0.30,1,0
0.30,1,0
0.30,1,0
0.40,1,0
0.30,1,0
0.20,1,0
0.30,1,0
0.30,1,0
0.20,1,0
0.20,1,0
0.20,1,0
0.20,1,0
0.20,1,0
0.30,1,0
0.40,1,0
0.40,1,0
0.50,1,0
0.70,1,0
0.60,1,0
0.60,1,0
0.70,1,0
0.80,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.70,1,0
0.60,1,0
0.50,1,0
0.50,1,0
0.30,1,0
0.30,1,0
0.30,1,0
0.30,1,0
0.60,1,0
0.70,1,0
0.40,1,0
0.40,1,0
0.40,1,0
0.40,1,0
0.50,1,0
0.50,1,0
0.50,1,0
0.50,1,0
0.50,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.60,1,0
0.50,1,0
0.60,1,0
0.80,1,0
0.90,1,0
1.20,1,0
1.30,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.20,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.00,1,0
0.90,1,0
0.90,1,0
0.80,1,0
0.60,1,0
0.60,1,0
0.60,1,0
1.00,1,0
0.90,1,0
0.80,1,0
0.90,1,0
1.00,1,0
1.00,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.80,1,0
0.90,1,0
0.90,1,0
0.80,1,0
0.70,1,0
0.80,1,0
0.90,1,0
0.90,1,0
1.00,1,0
1.10,1,0
1.10,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.20,1,0
0.90,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.70,1,0
0.70,1,0
0.90,1,0
0.90,1,0
1.00,1,0
1.00,1,0
0.90,1,0
1.00,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.00,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.00,1,0
0.90,1,0
1.00,1,0
1.00,1,0
0.90,1,0
0.90,1,0
0.90,1,0
1.00,1,0
1.10,1,0
1.20,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.10,1,0
0.80,1,0
0.70,1,0
0.60,1,0
0.90,1,0
1.10,1,0
1.10,1,0
1.20,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.20,1,0
1.20,1,0
1.20,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.30,1,0
1.40,1,0
1.40,1,0
1.30,1,0
1.30,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.00,1,0
0.90,1,0
1.10,1,0
0.80,1,0
1.00,1,0
0.80,1,0
1.00,1,0
1.00,1,0
1.10,1,0
1.30,1,0
1.20,1,0
0.90,1,0
1.00,1,0
0.90,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.70,1,0
0.70,1,0
0.60,1,0
0.50,1,0
0.60,1,0
0.60,1,0
0.70,1,0
0.80,1,0
1.00,1,0
1.10,1,0
1.30,1,0
1.00,1,0
1.00,1,0
0.90,1,0
0.90,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.80,1,0
0.70,1,0
0.70,1,0
0.70,1,0
0.70,1,0
0.80,1,0
0.70,1,0
0.60,1,0
0.50,1,0
0.40,1,0
0.30,1,0
0.30,1,0
0.40,1,0
0.70,1,0
0.70,1,0
0.80,1,0
1.00,1,0
1.10,1,0
1.10,1,0
1.00,1,0
1.00,1,0
1.00,1,0
1.00,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.90,1,0
0.80,1,0
0.70,2,0
0.70,2,0
0.60,2,0
0.40,2,0
0.30,2,0
0.40,2,0
0.50,2,0
0.60,2,0
0.90,2,0
0.00,2,0
0.90,2,0
0.80,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.90,2,0
0.90,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.90,2,0
0.90,2,0
1.00,2,0
1.10,2,0
1.20,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.00,2,0
1.00,2,0
0.90,2,0
0.90,2,0
1.00,2,0
1.10,2,0
1.10,2,0
1.20,2,0
0.90,2,0
0.80,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.90,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.00,2,0
1.00,2,0
1.10,2,0
0.00,2,0
1.00,2,0
0.80,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.30,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.50,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.70,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.60,2,0
0.70,2,0
0.50,2,0
0.40,2,0
0.50,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
0.80,2,0
0.80,2,0
0.70,2,0
0.50,2,0
0.50,2,0
0.40,2,0
0.40,2,0
0.30,2,0
0.30,2,0
0.40,2,0
0.30,2,0
0.30,2,0
0.30,2,0
0.20,2,0
0.20,2,0
0.20,2,0
0.10,2,0
0.30,2,0
0.20,2,0
0.10,2,0
0.20,2,0
0.30,2,0
0.40,2,0
0.60,2,0
0.60,2,0
0.80,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.50,2,0
0.50,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.20,2,0
0.20,2,0
0.20,2,0
0.30,2,0
0.40,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
1.00,2,0
1.10,2,0
1.10,2,0
0.90,2,0
0.80,2,0
0.60,2,0
0.60,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.30,2,0
0.30,2,0
0.40,2,0
0.50,2,0
0.50,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
0.80,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.50,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
1.00,2,0
1.00,2,0
0.90,2,0
0.90,2,0
0.80,2,0
0.90,2,0
0.80,2,0
0.80,2,0
0.70,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.90,2,0
0.90,2,0
1.00,2,0
1.10,2,0
1.10,2,0
1.20,2,0
1.20,2,0
1.10,2,0
1.10,2,0
1.00,2,0
1.00,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.20,2,0
1.30,2,0
1.30,2,0
1.50,2,0
1.40,2,0
1.30,2,0
1.10,2,0
0.80,2,0
0.80,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
1.10,2,0
1.10,2,0
1.00,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.30,2,0
0.30,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.30,2,0
0.20,2,0
0.20,2,0
0.20,2,0
0.20,2,0
0.20,2,0
0.20,2,0
0.30,2,0
0.30,2,0
0.30,2,0
0.30,2,0
0.30,2,0
0.30,2,0
0.20,2,0
0.10,2,0
0.10,2,0
0.10,2,0
0.20,2,0
0.40,2,0
0.50,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.90,2,0
0.80,2,0
0.90,2,0
0.90,2,0
1.00,2,0
1.00,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.00,2,0
0.90,2,0
1.00,2,0
1.00,2,0
1.00,2,0
0.90,2,0
0.60,2,0
0.50,2,0
0.40,2,0
0.30,2,0
0.30,2,0
0.50,2,0
0.60,2,0
1.00,2,0
1.00,2,0
1.00,2,0
0.90,2,0
1.00,2,0
0.90,2,0
0.80,2,0
3.00,2,1
1.90,2,0
0.60,2,0
0.70,2,0
0.60,2,0
0.50,2,0
0.40,2,0
0.40,2,0
0.50,2,0
0.70,2,0
0.90,2,0
0.70,2,0
0.70,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.80,2,0
0.90,2,0
0.80,2,0
0.90,2,0
0.80,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.40,2,0
0.40,2,0
0.50,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.90,2,0
1.00,2,0
1.00,2,0
1.10,2,0
1.00,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.80,2,0
0.90,2,0
0.90,2,0
0.90,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.80,2,0
0.80,2,0
0.90,2,0
1.00,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.10,2,0
1.00,2,0
0.80,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.70,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.40,2,0
0.40,2,0
0.40,2,0
0.50,2,0
0.60,2,0
0.50,2,0
0.50,2,0
0.60,2,0
0.60,2,0
0.60,2,0
0.70,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.80,2,0
0.00,2,0
